city,state_id,state_name,county_fips,county_name,lat,lng,population,density
New York,NY,New York,36081,Queens,40.6943,-73.9249,18680025,10768
Los Angeles,CA,California,6037,Los Angeles,34.1141,-118.4068,12531334,3267
Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8586888,4576
Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2101,6076316,4945
Dallas,TX,Texas,48113,Dallas,32.7935,-96.7667,5910669,1522
Houston,TX,Texas,48201,Harris,29.786,-95.3885,5724418,1394
Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5540199,4544
Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.422,5151496,1419
Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5066973,4434
Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,4465966,5505
Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0892,4187723,1236
Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3731486,1871
San Francisco,CA,California,6075,San Francisco,37.7558,-122.4449,3557982,7199
Seattle,WA,Washington,53033,King,47.6211,-122.3244,3530752,3414
San Diego,CA,California,6073,San Diego,32.8313,-117.1222,3178495,1675
Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2885614,3035
Tampa,FL,Florida,12057,Hillsborough,27.9945,-82.4447,2771700,1340
Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2736074,15200
Denver,CO,Colorado,8031,Denver,39.762,-104.8758,2709398,1805
Queens,NY,New York,36081,Queens,40.7498,-73.7976,2405464,8503
Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2270087,2872
Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,2165405,1754
St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,2144317,1905
Riverside,CA,California,6065,Riverside,33.9381,-117.3949,2112239,1556
Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,2072553,1881
San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238,2036324,1183
Sacramento,CA,California,6067,Sacramento,38.5677,-121.4685,1882358,1971
San Juan,PR,Puerto Rico,72127,San Juan,18.3985,-66.061,1854549,2982
San Jose,CA,California,6085,Santa Clara,37.3012,-121.848,1797166,2229
Orlando,FL,Florida,12095,Orange,28.4773,-81.337,1792047,994
Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1742437,1903
Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,1719289,2100
Manhattan,NY,New York,36061,New York,40.7834,-73.9662,1694263,28653
Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1685522,1165
Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,1684800,1501
Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1636763,928
Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1602005,602
Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855,1547862,1560
Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,1526465,1094
Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1475522,711
Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1472654,13356
Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1390046,2379
Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1204385,3764
Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1165107,466
Salt Lake City,UT,Utah,49035,Salt Lake,40.7776,-111.9311,1135747,700
Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842,1081876,541
Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429,1073795,1232
Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663,1072330,846
Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1025117,1476
Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,1004821,906
New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,957783,891
Bridgeport,CT,Connecticut,9001,Fairfield,41.1918,-73.1954,948918,3485
Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,947247,413
Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,926607,2446
Hartford,CT,Connecticut,9003,Hartford,41.7661,-72.6834,918434,2722
Fort Worth,TX,Texas,48439,Tarrant,32.7817,-97.3474,892221,992
Tucson,AZ,Arizona,4019,Pima,32.1541,-110.8787,883127,873
Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,834138,2214
